experiment_group,task,feature_set,model,train_rows,val_rows,train_time_seconds,accuracy,f1,roc_auc,pr_auc,macro_f1,weighted_f1
5.1_feature_sets,binary,BASELINE,logreg,72778,73095,1.6905,0.780121759354265,0.6018036767256331,0.8229332680274298,0.6995323256188642,,
5.1_feature_sets,cause,BASELINE,logreg,17457,17586,1.219,0.734277266007051,,,,0.6126341343240232,0.7400498302340485
5.1_feature_sets,binary,EXTENDED,logreg,72778,73095,2.4203,0.7802175251385184,0.6021840873634945,0.8234257749140146,0.6999434659726643,,
5.1_feature_sets,cause,EXTENDED,logreg,17457,17586,1.5493,0.7333105879677015,,,,0.6110049265889254,0.739393985565399
5.1_feature_sets,binary,WITH_NETWORK,logreg,72778,73095,7.7661,0.7871400232574047,0.6062308607293801,0.8246058805262433,0.7015114631441907,,
5.1_feature_sets,cause,WITH_NETWORK,logreg,17457,17586,2.3058,0.711304446718981,,,,0.598690284216498,0.7240136028117375
5.2_model_comparison,binary,EXTENDED,logreg,72778,73095,2.4203,0.7802175251385184,0.6021840873634945,0.8234257749140146,0.6999434659726643,,
5.2_model_comparison,cause,EXTENDED,logreg,17457,17586,1.5493,0.7333105879677015,,,,0.6110049265889254,0.739393985565399
5.2_model_comparison,binary,EXTENDED,random_forest,72778,73095,2.4347,0.7810520555441549,0.618970525213085,0.8295039252105137,0.6995373712380598,,
5.2_model_comparison,cause,EXTENDED,random_forest,17457,17586,0.4428,0.7592971682019789,,,,0.6134386435685502,0.754524746825407
